Operating_Income,OCF,Revenue,Total_Assets,Total_Equity,Date,Net_Income,Ticker,Retained_Earnings,CapEx,EBIT,COGS,Working_Capital
28202000000.0,27867000000.0,94036000000.0,331495000000.0,65830000000.0,2025-06-30,23434000000.0,AAPL,-17607000000.0,-3462000000.0,28202000000.0,50318000000.0,-18629000000.0
29589000000.0,23952000000.0,95359000000.0,331233000000.0,66796000000.0,2025-03-31,24780000000.0,AAPL,-15552000000.0,-3071000000.0,29589000000.0,50492000000.0,-25897000000.0
42832000000.0,29935000000.0,124300000000.0,344085000000.0,66758000000.0,2024-12-31,36330000000.0,AAPL,-11221000000.0,-2940000000.0,42832000000.0,66025000000.0,-11125000000.0
29591000000.0,26811000000.0,94930000000.0,364980000000.0,56950000000.0,2024-09-30,14736000000.0,AAPL,-19154000000.0,-2908000000.0,29591000000.0,51051000000.0,-23405000000.0
25352000000.0,28858000000.0,85777000000.0,331612000000.0,66708000000.0,2024-06-30,21448000000.0,AAPL,-4726000000.0,-2151000000.0,25352000000.0,46099000000.0,-6189000000.0
25352000000.0,28858000000.0,85777000000.0,331612000000.0,66708000000.0,2024-03-31,21448000000.0,AAPL,-4726000000.0,-2151000000.0,25352000000.0,46099000000.0,-6189000000.0
2173000000.0,2198000000.0,5988000000.0,28754000000.0,11770000000.0,2025-08-31,1772000000.0,ADBE,43516000000.0,-72000000.0,2254000000.0,642000000.0,173000000.0
2109000000.0,2191000000.0,5873000000.0,28107000000.0,11448000000.0,2025-05-31,1691000000.0,ADBE,41744000000.0,-47000000.0,2169000000.0,638000000.0,-61000000.0
2163000000.0,2482000000.0,5714000000.0,29955000000.0,13095000000.0,2025-02-28,1811000000.0,ADBE,40186000000.0,-26000000.0,2244000000.0,622000000.0,1692000000.0
1957000000.0,2921000000.0,5606000000.0,30230000000.0,14105000000.0,2024-11-30,1683000000.0,ADBE,38470000000.0,-48000000.0,2041000000.0,616000000.0,711000000.0
1992000000.0,2021000000.0,5408000000.0,29830000000.0,14545000000.0,2024-08-31,1684000000.0,ADBE,36911000000.0,-57000000.0,2093000000.0,554000000.0,1072000000.0
1992000000.0,2021000000.0,5408000000.0,29830000000.0,14545000000.0,2024-05-31,1684000000.0,ADBE,36911000000.0,-57000000.0,2093000000.0,554000000.0,1072000000.0
1992000000.0,2021000000.0,5408000000.0,29830000000.0,14545000000.0,2024-02-29,1684000000.0,ADBE,36911000000.0,-57000000.0,2093000000.0,554000000.0,1072000000.0
19171000000.0,32515000000.0,167702000000.0,682170000000.0,333775000000.0,2025-06-30,18164000000.0,AMZN,208157000000.0,-32183000000.0,21373000000.0,80809000000.0,4499000000.0
18405000000.0,17015000000.0,155667000000.0,643256000000.0,305867000000.0,2025-03-31,17127000000.0,AMZN,189993000000.0,-25019000000.0,22220000000.0,76976000000.0,8474000000.0
21203000000.0,45636000000.0,187792000000.0,624894000000.0,285970000000.0,2024-12-31,20004000000.0,AMZN,172866000000.0,-27834000000.0,22919000000.0,98893000000.0,11436000000.0
17411000000.0,25971000000.0,158877000000.0,584626000000.0,259151000000.0,2024-09-30,15328000000.0,AMZN,152862000000.0,-22620000000.0,18640000000.0,80977000000.0,14315000000.0
14672000000.0,25281000000.0,147977000000.0,554818000000.0,236447000000.0,2024-06-30,13485000000.0,AMZN,137534000000.0,-17620000000.0,15834000000.0,73785000000.0,15135000000.0
