Ticker,Total Revenue,Gross Profit,Operating Income,Net Income,Year,Total Assets,Current Liabilities,Total Stockholder Equity,Cash And Cash Equivalents,Total Liab,Report Date,Operating Cash Flow,Financing Cash Flow,Investing Cash Flow,Gross Margin,Operating Margin,Net Margin,ROA,ROE,Current Ratio,Debt to Equity,CapEx,FCF,FCF Yield,CapEx Ratio,Z_Score,Z_Risk
A,6.51,3.54,1.49,1.29,0.0,11.85,1.9,5.9,1.33,0.0,2024-10-31,1.75,-0.75,-1.26,0.5438,0.2289,0.1982,0.1089,0.2186,0,0.0000,1.008,0.742,0.1258,0.1548,1.4394206329113923,Distress
AAPL,391.04,180.68,123.22,93.74,0.0,364.98,176.39,56.95,29.94,0.0,2024-09-30,118.25,-121.98,2.94,0.4620,0.3151,0.2397,0.2568,1.6460,0,0.0000,0.0,118.25,2.0764,0.0000,2.2096694432571646,Grey
ABBV,56.33,39.43,11.89,4.28,0.0,135.16,38.75,3.32,5.52,0.0,2024-12-31,18.81,-5.21,-20.82,0.7000,0.2111,0.0760,0.0317,1.2892,0,0.0000,16.656,2.154,0.6488,0.2957,1.162403897602841,Distress
ABNB,11.1,9.22,2.55,2.65,0.0,20.96,10.16,8.41,6.86,0.0,2024-12-31,4.52,-3.57,-0.62,0.8306,0.2297,0.2387,0.1264,0.3151,0,0.0000,0.496,4.024,0.4785,0.0447,1.6803382442748092,Distress
ABT,41.95,23.24,6.82,13.4,0.0,81.41,14.16,47.66,7.62,0.0,2024-12-31,8.56,-5.4,-2.34,0.5540,0.1626,0.3194,0.1646,0.2812,0,0.0000,1.872,6.688,0.1403,0.0446,1.1641933153175286,Distress
ACGL,16.93,0.0,0.0,4.31,0.0,70.91,0.0,20.82,0.98,50.09,2024-12-31,6.67,-1.92,-4.46,0.0000,0.0000,0.2546,0.0608,0.2070,1.4157,2.4059,3.568,3.102,0.1490,0.2108,0.2553377520801015,Distress
ACN,64.9,21.16,9.6,7.26,0.0,55.93,18.98,28.29,5.0,0.0,2024-08-31,9.13,-6.06,-7.06,0.3260,0.1479,0.1119,0.1298,0.2566,0,0.0000,5.648,3.482,0.1231,0.0870,1.7557259985696405,Distress
ADBE,21.5,19.15,7.74,5.56,0.0,30.23,10.52,14.1,7.61,0.0,2024-11-30,8.06,-7.72,0.15,0.8907,0.3600,0.2586,0.1839,0.3943,0,0.0000,0.0,8.06,0.5716,0.0000,2.201298048296394,Grey
ADI,9.43,5.38,2.07,1.64,0.0,48.23,2.99,35.18,1.99,0.0,2024-10-31,3.85,-1.71,-1.1,0.5705,0.2195,0.1739,0.0340,0.0466,0,0.0000,0.88,2.97,0.0844,0.0933,0.9693842110719468,Distress
ADM,85.53,5.78,2.07,1.8,0.0,53.27,19.94,22.17,0.61,0.0,2024-12-31,2.79,-1.53,-2.7,0.0676,0.0242,0.0210,0.0338,0.0812,0,0.0000,2.16,0.63,0.0284,0.0253,1.6991954608597708,Distress
ADP,20.56,9.46,5.41,4.08,0.0,53.37,41.28,6.19,3.35,0.0,2025-06-30,4.94,-6.97,-3.04,0.4601,0.2631,0.1984,0.0764,0.6591,0,0.0000,2.432,2.508,0.4052,0.1183,1.3287883661232902,Distress
ADSK,6.13,5.55,1.37,1.11,0.0,10.83,5.15,2.62,1.6,0.0,2025-01-31,1.61,-0.99,-0.9,0.9054,0.2235,0.1811,0.1025,0.4237,0,0.0000,0.72,0.89,0.3397,0.1175,1.4808556325023083,Distress
AEE,7.62,3.65,1.52,1.18,0.0,44.6,3.41,12.11,0.01,0.0,2024-12-31,2.76,1.75,-4.46,0.4790,0.1995,0.1549,0.0265,0.0974,0,0.0000,3.568,-0.808,-0.0667,0.4682,0.8294710762331838,Distress
AEP,19.72,12.46,4.45,2.97,0.0,103.08,13.01,26.94,0.2,0.0,2024-12-31,6.8,0.66,-7.6,0.6318,0.2257,0.1506,0.0288,0.1102,0,0.0000,6.08,0.72,0.0267,0.3083,0.9384460108653473,Distress
AES,12.28,2.31,2.03,1.68,0.0,47.41,8.57,3.64,1.52,0.0,2024-12-31,2.75,4.96,-7.7,0.1881,0.1653,0.1368,0.0354,0.4615,0,0.0000,6.16,-3.41,-0.9368,0.5016,0.8429799810166632,Distress
AFL,19.13,0.0,0.0,5.44,0.0,117.57,0.0,26.1,6.23,91.47,2024-12-31,2.71,-3.49,2.78,0.0000,0.0000,0.2844,0.0463,0.2084,1.2853,3.5046,0.0,2.71,0.1038,0.0000,0.22629922599302543,Distress
AIG,27.27,0.0,0.0,-1.4,0.0,161.32,0.0,42.52,1.3,118.77,2024-12-31,3.27,-5.06,1.67,0.0000,0.0000,-0.0513,-0.0087,-0.0329,1.3583,2.7933,0.0,3.27,0.0769,0.0000,0.17871311678651128,Distress
AIZ,11.88,0.0,0.0,0.76,0.0,35.02,0.0,5.11,1.81,29.91,2024-12-31,1.33,-0.48,-0.66,0.0000,0.0000,0.0640,0.0217,0.1487,1.1708,5.8532,0.528,0.802,0.1569,0.0444,0.4012564249000571,Distress
AJG,11.55,4.88,2.28,1.46,0.0,64.26,29.26,20.15,14.99,0.0,2024-12-31,2.58,13.05,-1.59,0.4225,0.1974,0.1264,0.0227,0.0725,0,0.0000,1.272,1.308,0.0649,0.1101,1.1110838655462183,Distress
AKAM,3.99,2.37,0.64,0.5,0.0,10.37,2.09,4.88,0.52,0.0,2024-12-31,1.52,-0.68,-0.8,0.5940,0.1604,0.1253,0.0482,0.1025,0,0.0000,0.64,0.88,0.1803,0.1604,0.974257319189971,Distress
ALB,5.38,0.06,-0.64,-1.18,0.0,16.61,1.97,9.96,1.19,0.0,2024-12-31,0.7,1.24,-1.57,0.0112,-0.1190,-0.2193,-0.0710,-0.1185,0,0.0000,1.256,-0.556,-0.0558,0.2335,0.017173570138470817,Distress
ALGN,4.0,2.8,0.67,0.42,0.0,6.21,2.04,3.85,1.04,0.0,2024-12-31,0.74,-0.36,-0.25,0.7000,0.1675,0.1050,0.0676,0.1091,0,0.0000,0.200,0.540,0.1403,0.0500,1.3978385668276971,Distress
ALL,63.52,0.0,0.0,4.67,0.0,111.62,0.0,21.44,0.7,90.25,2024-12-31,8.93,-0.7,-8.25,0.0000,0.0000,0.0735,0.0418,0.2178,1.2368,4.2094,6.600,2.330,0.1087,0.1039,0.5765991757749507,Distress
ALLE,3.77,1.67,0.78,0.6,0.0,4.49,0.7,1.5,0.5,0.0,2024-12-31,0.68,-0.39,-0.23,0.4430,0.2069,0.1592,0.1336,0.4000,0,0.0000,0.184,0.496,0.3307,0.0488,1.656043942093541,Distress
